STUDENT_ID	PRE_STATE	ACTION	POST_STATE	ERROR	SEQNUM	GOAL
MNFUQUAY-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	MT	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"	0	1	FALSE
MNFUQUAY-0	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	2	FALSE
MNFUQUAY-0	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	3	FALSE
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"Sv~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	4	FALSE
MNFUQUAY-0	"Sv~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	Del	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	5	FALSE
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	CONJ	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	6	FALSE
MNFUQUAY-0	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	19	7	FALSE
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	CONJ	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	9	FALSE
MNFUQUAY-0	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	10	FALSE
MNFUQUAY-0	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"S,Q>T,~T&S,~T,~RvR,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	0	11	FALSE
