STUDENT_ID	PRE_STATE	ACTION	POST_STATE
MNFUQUAY-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	MT	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"Sv~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"Sv~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	Del	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	CONJ	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S&~T,S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	Del	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	CONJ	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"S,Q>T,~T&S,~T,~RvR,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T&S,~T,~RvR,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	Del	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-0	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"S,Q>T,~T&S,~T,~RvN,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	MT	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"Q>T,~T,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"S,Q>T,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	CONJ	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"S,Q>T,~T&S,~T,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	MP	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
MNFUQUAY-1	"S,Q>T,~T&S,~T,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"	ADD	"S,Q>T,~T&S,~T,~RvN,~R,~QvP,~Q,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((QvP)>~R)&(r>N),(QvP)vr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((QvP)>~R)&(r>N),(QvP)vr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((QvP)>~R)&(T>N),(QvP)vT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@((QvP)>~R)&(T>N),(QvP)vT\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	MT	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(r>N),Tvr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(r>N),Tvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(S>N),TvS\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(T>~R)&(S>N),TvS\~RvN#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(p>~R)&(r>N),pvr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(r>N),Svr\~RvN#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@(S>~R)&(T>N),SvT\~RvN#"	CONJ	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(r>T),Qvr\SvT#"	INST	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(P>T),QvP\SvT#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(Q>S)&(P>T),QvP\SvT#"	Del	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"
ACAUSEY3-0	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#"	CD	"Q>T,~T,(~T&S)>~R,(~QvP)>S,@S>~R,T>N\(S>~R)&(T>N)#(S>~R)&(T>N),SvT\~RvN#(p>S)&(r>T),pvr\SvT#"
